stadtbezirksnummer,stadtbezirk,bevölkerung,bevölkerung in prozent,fläche in ha,fläche in prozent,einwohnerdichte
1,Altstadt - Lehel,20876,1.3,314.59,1,66
2,Ludwigsvorstadt - Isarvorstadt,50081,3.1,440.17,1.4,114
3,Maxvorstadt,52434,3.3,429.82,1.4,122
4,Schwabing West,68610,4.3,436.33,1.4,157
5,Au - Haidhausen,63972,4,422,1.4,152
6,Sendling,41002,2.6,393.89,1.3,104
7,Sendling - Westpark,62240,3.9,781.49,2.5,80
8,Schwanthalerhöhe,28684,1.8,207.03,0.7,139
9,Neuhausen - Nymphenburg,101 901,6.4,1291.49,4.2,79
10,Moosach,56015,3.5,1109.37,3.6,50
11,Milbertshofen - Am Hart,77281,4.8,1341.72,4.3,58
12,Schwabing - Freimann,77092,4.8,2567.48,8.3,30
13,Bogenhausen,95475,6,2371.3,7.6,40
14,Berg am Laim,47367,3,631.53,2,75
15,Trudering - Riem,76280,4.8,2245.39,7.2,34
16,Ramersdorf - Perlach,120776,7.5,1989.71,6.4,61
17,Obergiesing - Fasangarten,54352,3.4,572.09,1.8,95
18,Untergiesing - Harlaching,54067,3.4,805.72,2.6,67
19,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,103717,6.5,1776.35,5.7,58
20,Hadern,51637,3.2,922.38,3,56
21,Pasing - Obermenzing,81804,5.1,1649.75,5.3,50
22,Aubing - Lochhausen - Langwied,61 011,3.8,3405.73,11,18
23,Allach - Untermenzing,36230,2.3,1545.12,5,23
24,Feldmoching - Hasenbergl,63756,4,2893.85,9.3,22
25,Laim,57116,3.6,528.6,1.7,108
26,insgesamt,1603776,100,31072.88,100,52
